periodo,submercado,nome,geracao,status,acionamento,desligamento
86,1,GT3,0.0,0.0,0.0,0.0
86,1,GT4,0.0,0.0,0.0,0.0
86,1,GT5,0.0,0.0,0.0,0.0
87,1,GT1,200.0,1.0,0.0,0.0
87,1,GT2,56.50716917485012,1.0,0.0,0.0
87,1,GT3,0.0,0.0,0.0,0.0
87,1,GT4,0.0,0.0,0.0,0.0
87,1,GT5,0.0,0.0,0.0,0.0
88,1,GT1,200.0,1.0,0.0,0.0
88,1,GT2,60.9200180615167,1.0,0.0,0.0
88,1,GT3,0.0,0.0,0.0,0.0
88,1,GT4,0.0,0.0,0.0,0.0
88,1,GT5,0.0,0.0,0.0,0.0
89,1,GT1,200.0,1.0,0.0,0.0
89,1,GT2,50.0,1.0,0.0,0.0
89,1,GT3,0.0,0.0,0.0,0.0
89,1,GT4,0.0,0.0,0.0,0.0
89,1,GT5,0.0,0.0,0.0,0.0
90,1,GT1,200.0,1.0,0.0,0.0
90,1,GT2,92.14316942033885,1.0,0.0,0.0
90,1,GT3,0.0,0.0,0.0,0.0
90,1,GT4,0.0,0.0,0.0,0.0
90,1,GT5,0.0,0.0,0.0,0.0
91,1,GT1,200.0,1.0,0.0,0.0
91,1,GT2,200.0,1.0,0.0,0.0
91,1,GT3,0.0,0.0,0.0,0.0
91,1,GT4,0.0,0.0,0.0,0.0
91,1,GT5,0.0,0.0,0.0,0.0
92,1,GT1,200.0,1.0,0.0,0.0
92,1,GT2,200.0,1.0,0.0,0.0
92,1,GT3,0.0,0.0,0.0,0.0
92,1,GT4,0.0,0.0,0.0,0.0
92,1,GT5,0.0,0.0,0.0,0.0
93,1,GT1,200.0,1.0,0.0,0.0
93,1,GT2,198.40985762000003,1.0,0.0,0.0
93,1,GT3,0.0,0.0,0.0,0.0
93,1,GT4,0.0,0.0,0.0,0.0
93,1,GT5,0.0,0.0,0.0,0.0
94,1,GT1,200.0,1.0,0.0,0.0
94,1,GT2,197.30864661999993,1.0,0.0,0.0
94,1,GT3,0.0,0.0,0.0,0.0
94,1,GT4,0.0,0.0,0.0,0.0
94,1,GT5,0.0,0.0,0.0,0.0
95,1,GT1,200.0,1.0,0.0,0.0
95,1,GT2,200.0,1.0,0.0,0.0
95,1,GT3,0.0,0.0,0.0,0.0
95,1,GT4,0.0,0.0,0.0,0.0
95,1,GT5,0.0,0.0,0.0,0.0
96,1,GT1,200.0,1.0,0.0,0.0
96,1,GT2,200.0,1.0,0.0,0.0
96,1,GT3,0.0,0.0,0.0,0.0
96,1,GT4,0.0,0.0,0.0,0.0
96,1,GT5,0.0,0.0,0.0,0.0
97,1,GT1,200.0,1.0,0.0,0.0
97,1,GT2,200.0,1.0,0.0,0.0
97,1,GT3,0.0,0.0,0.0,0.0
97,1,GT4,0.0,0.0,0.0,0.0
97,1,GT5,0.0,0.0,0.0,0.0
98,1,GT1,200.0,1.0,0.0,0.0
98,1,GT2,200.0,1.0,0.0,0.0
98,1,GT3,0.0,0.0,0.0,0.0
98,1,GT4,0.0,0.0,0.0,0.0
98,1,GT5,0.0,0.0,0.0,0.0
99,1,GT1,200.0,1.0,0.0,0.0
99,1,GT2,200.0,1.0,0.0,0.0
99,1,GT3,0.0,0.0,0.0,0.0
99,1,GT4,0.0,0.0,0.0,0.0
99,1,GT5,0.0,0.0,0.0,0.0
100,1,GT1,200.0,1.0,0.0,0.0
100,1,GT2,200.0,1.0,0.0,0.0
100,1,GT3,0.0,0.0,0.0,0.0
100,1,GT4,0.0,0.0,0.0,0.0
100,1,GT5,0.0,0.0,0.0,0.0
101,1,GT1,200.0,1.0,0.0,0.0
101,1,GT2,200.0,1.0,0.0,0.0
101,1,GT3,0.0,0.0,0.0,0.0
101,1,GT4,0.0,0.0,0.0,0.0
101,1,GT5,0.0,0.0,0.0,0.0
102,1,GT1,200.0,1.0,0.0,0.0
102,1,GT2,200.00000000005411,1.0,0.0,0.0
102,1,GT3,0.0,0.0,0.0,0.0
102,1,GT4,0.0,0.0,0.0,0.0
102,1,GT5,0.0,0.0,0.0,0.0
103,1,GT1,200.0,1.0,0.0,0.0
